Função;Categoria;Subcategoria;Descrição da subcategoria;Nivel de Maturidade Atual;Pontuação Atual;Cenário Atual;Evidência/Fonte;Gaps;Recomendações
GOVERNAR (GV);Gestão de Riscos na Cadeia de Suprimentos em Cibersegurança (GV. SC);GV. SC-03;"A gestão de riscos da cadeia de suprimentos em cibersegurança é integrada aos processos de gestão de riscos empresariais e cibersegurança e empresas

Exemplo 1: Identificar áreas de alinhamento e sobreposição com cibersegurança e gestão de riscos empresariais
Exemplo 2: Estabelecer conjuntos integrados de controle para gestão de riscos em cibersegurança e gestão de riscos na cadeia de suprimentos em cibersegurança
Exemplo 3: Integrar a gestão de riscos da cadeia de suprimentos em cibersegurança nos processos de melhoria
Exemplo 4: Escalar riscos materiais de cibersegurança nas cadeias de suprimentos para a alta gestão e enfrentá-los no nível de gestão de riscos corporativos";Nível 2: Informado sobre Riscos;2.0;A gestão de riscos da cadeia de suprimentos em cibersegurança é integrada aos processos de gestão de riscos empresariais e cibersegurança, mas pode não ser estabelecida como uma política organizacional.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] O objetivo estabelecido na política é a gestão de riscos de segurança da informação, segundo critérios a serem definidos pela área de Segurança da Informação da CGTI.;A falta de uma política formal para a gestão de riscos da cadeia de suprimentos em cibersegurança é um gap importante. Além disso, não há evidência clara sobre como os riscos materiais de cibersegurança nas cadeias de suprimentos são escalados e enfrentados pela alta gestão.;Elaborar política formal para a gestão de riscos da cadeia de suprimentos em cibersegurança e implementar um processo claro para escalar e enfrentar os riscos materiais de cibersegurança nas cadeias de suprimentos.
GOVERNAR (GV);Gestão de Riscos na Cadeia de Suprimentos em Cibersegurança (GV. SC);GV. SC-04;"Os fornecedores são conhecidos e priorizados pela criticidade

Exemplo 1: Desenvolver critérios para criticidade de fornecedores baseados, por exemplo, na sensibilidade dos dados processados ou possuídos pelos fornecedores, no grau de acesso aos sistemas da organização e na importância dos produtos ou serviços para a missão da organização
Exemplo 2: Mantenha um registro de todos os fornecedores e priorize os fornecedores com base nos critérios de criticidade";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que estabelece objetivos para a gestão de risco e continuidade. Além disso, há um registro de fornecedores e priorização baseada em critérios de criticidade.;"[FONTE: Política de Segurança da Informação e Comunicações.pdf] - Objetivos estabelecidos na política; [FONTE: Política de Segurança da Informação e Comunicações.pdf] - Gestão de risco e continuidade.";A organização não tem um processo formal para classificar e tratar informações classificadas, o que pode comprometer a segurança da informação.;Elaborar política formal para classificação e tratamento de informações classificadas.
GOVERNAR (GV);Gestão de Riscos na Cadeia de Suprimentos em Cibersegurança (GV. SC);GV. SC-05;"Requisitos para enfrentar riscos de cibersegurança nas cadeias de suprimentos são estabelecidos, priorizados e integrados em contratos e outros tipos de acordos com fornecedores e outras partes relevantes

Exemplo 1: Estabelecer requisitos de segurança para fornecedores, produtos e serviços proporcionais ao seu nível de criticidade e impacto potencial caso comprometidos
Exemplo 2: Incluir todos os requisitos de cibersegurança e cadeia de suprimentos que terceiros devem seguir e como a conformidade com esses requisitos pode ser verificada na linguagem contratual padrão
Exemplo 3: Definir as regras e protocolos para o compartilhamento de informações entre a organização e seus fornecedores e fornecedores de subnível em acordos
Exemplo 4: Gerenciar riscos incluindo requisitos de segurança em acordos com base em sua criticidade e impacto potencial caso comprometidos
Exemplo 5: Definir requisitos de segurança em acordos de nível de serviço (SLAs) para monitorar fornecedores quanto a desempenho aceitável de segurança ao longo do ciclo de vida do relacionamento com fornecedores
Exemplo 6: Exigir contratualmente que os fornecedores divulguem recursos, funções e vulnerabilidades de cibersegurança de seus produtos e serviços durante a vida útil do produto ou o prazo de serviço
Exemplo 7: Exigem contratualmente que os fornecedores forneçam e mantenham um estoque atual de componentes (por exemplo, software ou material de hardware) para produtos críticos
Exemplo 8: Exigem contratualmente que os fornecedores avaliem seus funcionários e se protejam contra ameaças internas
Exemplo 9: Exigem contratualmente que os fornecedores forneçam evidências de práticas aceitáveis de segurança, por exemplo, autoatestado, conformidade com padrões conhecidos, certificações ou inspeções
Exemplo 10: Especificar em contratos e outros acordos os direitos e responsabilidades da organização, seus fornecedores e suas cadeias de suprimentos, em relação a potenciais riscos de cibersegurança";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a gestão de risco, continuidade de negócios e auditoria e conformidade. No entanto, não há evidências claras de como os requisitos para enfrentar riscos de cibersegurança nas cadeias de suprimentos são estabelecidos, priorizados e integrados em contratos e outros tipos de acordos com fornecedores e outras partes relevantes.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] O documento estabelece diretrizes para classificação e tratamento das informações quanto ao seu grau de sigilo, mas não há menção específica sobre a gestão de riscos de cibersegurança nas cadeias de suprimentos.;Elaborar política formal para estabelecer requisitos para enfrentar riscos de cibersegurança nas cadeias de suprimentos e integrá-los em contratos e outros tipos de acordos com fornecedores e outras partes relevantes.;Implementar processo de gestão de risco que aborde a identificação, avaliação e mitigação dos riscos de cibersegurança nas cadeias de suprimentos.
GOVERNAR (GV);Gestão de Riscos na Cadeia de Suprimentos em Cibersegurança (GV. SC);GV. SC-06;"Planejamento e diligência devida são realizados para reduzir riscos antes de entrar em relações formais com fornecedores ou terceiros

Exemplo 1: Realizar uma due diligence detalhada sobre potenciais fornecedores, consistente com o planejamento de compras e proporcional ao nível de risco, criticidade e complexidade de cada relação com fornecedores
Exemplo 2: Avaliar a adequação das capacidades tecnológicas e de cibersegurança e as práticas de gestão de riscos dos potenciais fornecedores
Exemplo 3: Realizar avaliações de risco de fornecedores com base nos requisitos de cibersegurança empresarial e aplicáveis
Exemplo 4: Avaliar a autenticidade, integridade e segurança de produtos críticos antes da aquisição e uso";Nível 2: Informado sobre Riscos;2.0;A política de segurança da informação e comunicações da CGTI estabelece diretrizes para a gestão de risco, continuidade e auditoria. No entanto, não há evidências claras sobre o planejamento e diligência devida realizados antes de entrar em relações formais com fornecedores ou terceiros.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] Deve ser adotada a gestão de riscos de segurança da informação, segundo critérios a serem definidos pela área de Segurança da Informação da CGTI.;É necessário estabelecer políticas formais para o planejamento e diligência devida antes de entrar em relações formais com fornecedores ou terceiros.;Elaborar política formal para o planejamento e diligência devida antes de entrar em relações formais com fornecedores ou terceiros.
GOVERNAR (GV);Gestão de Riscos na Cadeia de Suprimentos em Cibersegurança (GV. SC);GV. SC-07;"Os riscos apresentados por um fornecedor, seus produtos e serviços, e outros terceiros são compreendidos, registrados, priorizados, avaliados, respondidos e monitorados ao longo da relação

Exemplo 1: Ajustar formatos e frequências de avaliação com base na reputação do terceiro e na criticidade dos produtos ou serviços que eles fornecem
Exemplo 2: Avaliar as evidências de terceiros de conformidade com os requisitos contratuais de cibersegurança, como autoatestados, garantias, certificações e outros artefatos
Exemplo 3: Monitorar fornecedores críticos para garantir que estejam cumprindo suas obrigações de segurança ao longo do ciclo de vida da relação com fornecedores, utilizando uma variedade de métodos e técnicas, como inspeções, auditorias, testes ou outras formas de avaliação
Exemplo 4: Monitorar fornecedores, serviços e produtos críticos para detectar mudanças em seus perfis de risco, e reavaliar a criticidade e o impacto de risco dos fornecedores de acordo
Exemplo 5: Planeje para interrupções inesperadas relacionadas a fornecedores e cadeia de suprimentos para garantir a continuidade do negócio";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a gestão de riscos, incluindo a compreensão dos riscos apresentados por fornecedores, produtos e serviços. No entanto, não há evidência de que essa política seja formalmente aprovada ou expressa como uma política organizacional.;"[FONTE: Política de Segurança da Informação e Comunicações.pdf] CONTEÚDO: objetivos estabelecidos na política; Disponibilidade: propriedade de que a informação esteja acessível e utilizável sob demanda por uma pessoa física ou determinado sistema, órgão ou entidade;";A política não é formalmente aprovada ou expressa como uma política organizacional. É necessário estabelecer um processo claro para a gestão de riscos apresentados por fornecedores.;Elaborar política formal e implementar processos claros para a gestão de riscos apresentados por fornecedores.
GOVERNAR (GV);Gestão de Riscos na Cadeia de Suprimentos em Cibersegurança (GV. SC);GV. SC-08;"Fornecedores relevantes e outras partes terceirizadas estão incluídos em atividades de planejamento de incidentes, resposta e recuperação

Exemplo 1: Definir e usar regras e protocolos para reportar atividades de resposta a incidentes e recuperação e o status entre a organização e seus fornecedores
Exemplo 2: Identificar e documentar os papéis e responsabilidades da organização e de seus fornecedores para a resposta a incidentes
Exemplo 3: Incluir fornecedores críticos em exercícios e simulações de resposta a incidentes
Exemplo 4: Definir e coordenar métodos e protocolos de comunicação em crises entre a organização e seus fornecedores críticos
Exemplo 5: Conduzir sessões colaborativas de lições aprendidas com fornecedores críticos";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a gestão de riscos, incluindo a identificação e implementação das medidas de proteção necessárias para a mitigação ou eliminação dos riscos.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] - Deve ser adotada a gestão de riscos de segurança da informação, segundo critérios a serem definidos pela área de Segurança da Informação da CGTI.;A política não especifica como os fornecedores relevantes e outras partes terceirizadas estão incluídos em atividades de planejamento de incidentes, resposta e recuperação.;Elaborar política formal para a inclusão dos fornecedores relevantes e outras partes terceirizadas nos processos de planejamento de incidentes, resposta e recuperação.
GOVERNAR (GV);Gestão de Riscos na Cadeia de Suprimentos em Cibersegurança (GV. SC);GV. SC-09;"As práticas de segurança da cadeia de suprimentos são integradas aos programas de cibersegurança e gestão de riscos empresariais, e seu desempenho é monitorado ao longo do ciclo de vida do produto e serviço da tecnologia

Exemplo 1: Políticas e procedimentos exigem registros de proveniência para todos os produtos e serviços tecnológicos adquiridos
Exemplo 2: Periodicamente fornecer relatórios de risco aos líderes sobre como os componentes adquiridos são comprovadamente autênticos e não alterados
Exemplo 3: Comunicar regularmente entre gerentes de risco de cibersegurança e equipe de operações sobre a necessidade de adquirir patches, atualizações e atualizações de software apenas de fornecedores de software autenticados e confiáveis
Exemplo 4: Revise as políticas para garantir que elas exijam que pessoal aprovado dos fornecedores realize a manutenção dos produtos dos fornecedores
Exemplo 5: Políticas e procedimentos exigem a verificação de atualizações em hardware crítico para alterações não autorizadas";Nível 2: Informado sobre Riscos;2.0;As práticas de segurança da cadeia de suprimentos são integradas aos programas de cibersegurança e gestão de riscos empresariais, mas não há um desempenho monitorado ao longo do ciclo de vida do produto e serviço.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece objetivos para a gestão de risco e continuidade, mas não há evidência de que esses objetivos sejam aplicados à cadeia de suprimentos.;Elaborar políticas formais para a cadeia de suprimentos e implementar um sistema de monitoramento do desempenho.;Implementar um sistema de monitoramento do desempenho da cadeia de suprimentos e revisar as políticas para garantir que elas sejam aplicadas à cadeia de suprimentos.
GOVERNAR (GV);Gestão de Riscos na Cadeia de Suprimentos em Cibersegurança (GV. SC);GV. SC-10;"Os planos de gestão de riscos da cadeia de suprimentos em cibersegurança incluem disposições para atividades que ocorrem após a conclusão de uma parceria ou acordo de serviço

Exemplo 1: Estabelecer processos para encerrar relacionamentos críticos em circunstâncias normais e adversas
Exemplo 2: Definir e implementar planos para suporte de manutenção no fim da vida útil dos componentes e obsolescência
Exemplo 3: Verifique se o acesso dos fornecedores aos recursos da organização é desativado rapidamente quando não for mais necessário
Exemplo 4: Verificar se os ativos contendo os dados da organização são devolvidos ou devidamente descartados de forma oportuna, controlada e segura
Exemplo 5: Desenvolver e executar um plano para encerrar ou transicionar relacionamentos com fornecedores que leve em conta o risco e a resiliência da segurança da cadeia de suprimentos
Exemplo 6: Mitigar riscos para dados e sistemas criados pela demissão de fornecedores
Exemplo 7: Gerenciar riscos de vazamento de dados associados à demissão de fornecedores";Nível 2: Informado sobre Riscos;2.0;A política de segurança da informação e comunicações estabelece objetivos para a gestão de risco e continuidade, mas não especificamente para a gestão de riscos na cadeia de suprimentos.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece objetivos para a gestão de risco e continuidade, mas não especificamente para a gestão de riscos na cadeia de suprimentos.;A política não contempla explicitamente a gestão de riscos na cadeia de suprimentos, o que pode levar a falhas na identificação e mitigação de riscos.;Elaborar política formal para a gestão de riscos na cadeia de suprimentos.
IDENTIFICAR (ID);Gestão de Ativos (ID.AM);ID.AM-01;"Os inventários de hardware gerenciados pela organização são mantidos

Exemplo 1: Manter estoques para todos os tipos de hardware, incluindo TI, IoT, OT e dispositivos móveis
Exemplo 2: Monitorar constantemente redes para detectar novos hardwares e atualizar automaticamente os inventários";Nível 2: Informado sobre Riscos;2.0;A organização mantém inventários de hardware gerenciados, incluindo TI, IoT, OT e dispositivos móveis. No entanto, não há evidência de que esses inventários sejam constantemente monitorados ou atualizados.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] O objetivo estabelecido na política é a disponibilidade da informação, mas não há menção específica sobre o gerenciamento de inventários de hardware.;Elaborar política formal para o gerenciamento de inventários de hardware e implementar processos para monitorar e atualizar constantemente esses inventários.;Implementar processo de gerenciamento de inventários de hardware que inclua a monitoração e atualização regular, além da definição de políticas formais para o gerenciamento desses inventários.
IDENTIFICAR (ID);Gestão de Ativos (ID.AM);ID.AM-02;"São mantidos inventários de softwares, serviços e sistemas gerenciados pela organização

Exemplo 1: Manter inventários para todos os tipos de softwares e serviços, incluindo comerciais prontos para uso, open-source, aplicações personalizadas, serviços de API e aplicações e serviços baseados em nuvem
Exemplo 2: Monitorar constantemente todas as plataformas, incluindo contêineres e máquinas virtuais, para alterações de software e inventário de serviços
Exemplo 3: Mantenha um inventário dos sistemas da organização";Nível 2: Informado sobre Riscos;2.0;A organização mantém inventários de softwares, serviços e sistemas gerenciados pela organização, o que demonstra uma compreensão básica dos riscos envolvidos.;"[FONTE: Política de Segurança da Informação e Comunicações.pdf] O prazo máximo de quatro anos para revisão de ofício das informações classificadas no grau ultrassecreto ou secreto;";A falta de um processo formalizado para a gestão dos inventários e a não existência de uma política específica para a manutenção desses inventários.;Elaborar política formal para a gestão dos inventários e implementar processos para garantir a integridade e segurança dos dados.
IDENTIFICAR (ID);Gestão de Ativos (ID.AM);ID.AM-03;"Representações da comunicação autorizada da rede da organização e dos fluxos de dados internos e externos da rede são mantidas

Exemplo 1: Manter linhas de base de comunicação e fluxos de dados dentro das redes cabeadas e sem fio da organização
Exemplo 2: Manter linhas de base de comunicação e fluxos de dados entre a organização e terceiros
Exemplo 3: Manter linhas de base de comunicação e fluxos de dados para o uso da infraestrutura como serviço (IaaS) da organização
Exemplo 4: Manter a documentação das portas de rede, protocolos e serviços esperados que normalmente são usados entre sistemas autorizados";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a gestão de risco, continuidade de negócios e controles de acesso. No entanto, não há evidências claras sobre a manutenção de representações da comunicação autorizada da rede da organização e dos fluxos de dados internos e externos.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece objetivos para a segurança da informação, incluindo a gestão de risco e continuidade de negócios. Além disso, há referências à equipe de tratamento e resposta a incidentes em redes computacionais.;A falta de evidências sobre a manutenção de representações da comunicação autorizada da rede da organização e dos fluxos de dados internos e externos é um gap importante para o nível 3: Repetível.;Elaborar política formal para a manutenção de representações da comunicação autorizada da rede da organização e dos fluxos de dados internos e externos.
IDENTIFICAR (ID);Gestão de Ativos (ID.AM);ID.AM-04;"São mantidos inventários dos serviços prestados pelos fornecedores

Exemplo 1: Inventariar todos os serviços externos utilizados pela organização, incluindo infraestrutura como serviço (IaaS), plataforma como serviço (PaaS) e software como serviço (SaaS); APIs; e outros serviços de aplicação hospedados externamente
Exemplo 2: Atualize o inventário quando um novo serviço externo for utilizado para garantir o monitoramento adequado de gestão de riscos de cibersegurança do uso desse serviço pela organização";Nível 2: Informado sobre Riscos;2.0;"A organização mantém inventários dos serviços prestados pelos fornecedores, incluindo infraestrutura como serviço (IaaS), plataforma como serviço (PaaS) e software como serviço (SaaS); APIs; e outros serviços de aplicação hospedados externamente.";[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece que a gestão de riscos deve ser adotada para identificar e implementar medidas de proteção necessárias para mitigar ou eliminar os riscos.;A política não especifica como o inventário dos serviços prestados pelos fornecedores será atualizado quando um novo serviço externo for utilizado.;Elaborar processo formal para atualizar o inventário dos serviços prestados pelos fornecedores quando um novo serviço externo for utilizado.
IDENTIFICAR (ID);Gestão de Ativos (ID.AM);ID.AM-05;"Os ativos são priorizados com base na classificação, criticidade, recursos e impacto na missão

Exemplo 1: Defina critérios para priorizar cada classe de ativos
Exemplo 2: Aplicar os critérios de priorização aos bens
Exemplo 3: Acompanhe as prioridades dos ativos e atualize-as periodicamente ou quando ocorrem mudanças significativas na organização";Nível 2: Informado sobre Riscos;2.0;A organização prioriza os ativos com base na classificação, criticidade, recursos e impacto na missão. Embora não haja um processo formalmente estabelecido para a priorização dos ativos, as decisões são informadas pelos objetivos de risco organizacionais.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece que os ativos devem ser priorizados com base na classificação, criticidade, recursos e impacto na missão.;Elaborar um processo formal para a priorização dos ativos;Implementar um processo de priorização de ativos que seja baseado nos critérios estabelecidos pela política
IDENTIFICAR (ID);Gestão de Ativos (ID.AM);ID.AM-07;"Inventários de dados e metadados correspondentes para tipos de dados designados são mantidos

Exemplo 1: Mantenha uma lista dos tipos de dados designados de interesse (por exemplo, informações pessoais identificáveis, informações de saúde protegidas, números de conta financeira, propriedade intelectual da organização, dados de tecnologia operacional)
Exemplo 2: Descobrir e analisar continuamente dados ad hoc para identificar novas instâncias de tipos de dados designados
Exemplo 3: Atribuir classificações de dados a tipos de dados designados por meio de tags ou rótulos
Exemplo 4: Rastrear a procedência, o proprietário dos dados e a geolocalização de cada instância dos tipos de dados designados";Nível 2: Informado sobre Riscos;2.0;A Fiocruz tem uma política de segurança da informação e comunicações que estabelece diretrizes para classificação e tratamento das informações. Além disso, a instituição também tem um grupo de pessoas responsáveis por receber, analisar e responder às notificações e atividades relacionadas a incidentes de segurança em computadores.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] O objetivo da política é estabelecer diretrizes para classificação e tratamento das informações quanto ao seu grau de sigilo nos aspectos referentes à segurança da informação e comunicações no âmbito da Fiocruz.;A falta de um inventário de dados e metadados correspondentes para tipos de dados designados é um gap importante. Além disso, a política não estabelece claramente como os dados serão classificados e tratados.;Elaborar política formal para classificação e tratamento dos dados, incluindo inventário de dados e metadados correspondentes para tipos de dados designados.
IDENTIFICAR (ID);Gestão de Ativos (ID.AM);ID.AM-08;"Sistemas, hardware, software, serviços e dados são gerenciados ao longo de seus ciclos de vida

Exemplo 1: Integrar considerações de cibersegurança ao longo dos ciclos de vida de sistemas, hardware, softwares e serviços
Exemplo 2: Integrar considerações de cibersegurança nos ciclos de vida do produto
Exemplo 3: Identificar usos não oficiais de tecnologia para atingir objetivos da missão (ou seja, shadow IT)
Exemplo 4: Identificar periodicamente sistemas, hardware, softwares e serviços redundantes que aumentem desnecessariamente a superfície de ataque da organização
Exemplo 5: Configurar e proteger corretamente sistemas, hardware, software e serviços antes de sua implantação em produção
Exemplo 6: Atualizar inventários quando sistemas, hardware, softwares e serviços são movidos ou transferidos dentro da organização
Exemplo 7: Destruir com segurança os dados armazenados com base na política de retenção de dados da organização usando o método prescrito de destruição, e manter e gerenciar um registro das destruições
Exemplo8: Sanitizar de forma segura o armazenamento de dados quando o hardware está sendo aposentado, descomissionado, realocado ou enviado para reparos ou substituição
Exemplo 9: Oferecer métodos para destruir papel, mídia de armazenamento e outras formas físicas de armazenamento de dados";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a gestão de risco, continuidade e auditoria. No entanto, não há evidências claras de como essa política é aplicada ao longo dos ciclos de vida de sistemas, hardware, software e serviços.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A gestão de risco deve ser adotada para a identificação e implementação das medidas de proteção necessárias para a mitigação ou eliminação dos riscos.;É necessário estabelecer processos formais para aplicar a política de segurança ao longo dos ciclos de vida de sistemas, hardware, software e serviços.;Elaborar políticas formais para gerenciar os ciclos de vida de sistemas, hardware, software e serviços com base na gestão de risco e continuidade.
IDENTIFICAR (ID);Avaliação de Riscos (ID.RA);ID.RA-01;"Vulnerabilidades em ativos são identificadas, validadas e registradas

Exemplo 1: Usar tecnologias de gerenciamento de vulnerabilidades para identificar softwares não corrigidos e configurados de forma incorreta
Exemplo2: Avaliar arquiteturas de redes e sistemas em busca de fraquezas de design e implementação que afetam a cibersegurança
Exemplo 3: Revisar, analisar ou testar softwares desenvolvidos pela organização para identificar vulnerabilidades de design, codificação e configuração padrão
Exemplo 4: Avaliar instalações que abrigam ativos críticos de computação para vulnerabilidades físicas e problemas de resiliência
Exemplo 5: Monitorar fontes de inteligência sobre ameaças cibernéticas em busca de informações sobre novas vulnerabilidades em produtos e serviços
Exemplo 6: Revise processos e procedimentos para identificar fraquezas que possam ser exploradas para afetar a cibersegurança";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a gestão de risco, continuidade e auditoria. No entanto, não há evidências claras de que as vulnerabilidades em ativos sejam identificadas, validadas e registradas.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece a gestão de risco e continuidade, mas não especifica como as vulnerabilidades em ativos devem ser identificadas e registradas.;Elaborar procedimentos formais para identificar, validar e registrar vulnerabilidades em ativos;Implementar um processo de gerenciamento de vulnerabilidades que inclua a identificação, validação e registro de vulnerabilidades em ativos
IDENTIFICAR (ID);Avaliação de Riscos (ID.RA);ID.RA-02;"A inteligência sobre ameaças cibernéticas é recebida de fóruns e fontes de compartilhamento de informações

Exemplo 1: Configurar ferramentas e tecnologias de cibersegurança com capacidades de detecção ou resposta para absorver de forma segura feeds de inteligência de ameaças cibernéticas
Exemplo 2: Receber e revisar avisos de terceiros respeitáveis sobre atores ameaçadores atuais e suas táticas, técnicas e procedimentos (TTPs)
Exemplo 3: Monitorar fontes de inteligência sobre ameaças cibernéticas em busca de informações sobre os tipos de vulnerabilidades que tecnologias emergentes podem ter";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a gestão de risco, continuidade de negócios e auditoria e conformidade. No entanto, não há evidências claras sobre como a inteligência sobre ameaças cibernéticas é recebida e utilizada.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece objetivos para a gestão de risco e continuidade de negócios, mas não especifica como a inteligência sobre ameaças cibernéticas é recebida e utilizada.;A organização precisa estabelecer políticas formais para a recepção e utilização da inteligência sobre ameaças cibernéticas.;Elaborar política formal para a recepção e utilização da inteligência sobre ameaças cibernéticas.
IDENTIFICAR (ID);Avaliação de Riscos (ID.RA);ID.RA-03;"Ameaças internas e externas à organização são identificadas e registradas

Exemplo 1: Usar inteligência de ameaças cibernéticas para manter a consciência dos tipos de atores de ameaça que provavelmente vão atacar a organização e os TTPs que eles provavelmente vão usar
Exemplo 2: Realizar caça a ameaças para procurar sinais de agentes ameaçadores no ambiente
Exemplo 3: Implementar processos para identificar atores internos de ameaças";Nível 2: Informado sobre Riscos;2.0;A organização identifica e registra ameaças internas e externas, mas não há um processo formalizado para isso.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece a necessidade de identificar e registrar ameaças, mas não especifica como fazer isso.;Elaborar processo formalizado para identificar e registrar ameaças;Implementar um processo de identificação e registro de ameaças que seja baseado em inteligência de ameaças cibernéticas, como o exemplo 1 mencionado.
IDENTIFICAR (ID);Avaliação de Riscos (ID.RA);ID.RA-04;"Impactos potenciais e probabilidades de ameaças que exploram vulnerabilidades são identificados e registrados

Exemplo 1: Líderes empresariais e profissionais de gestão de riscos em cibersegurança trabalham juntos para estimar a probabilidade e o impacto dos cenários de risco e registrá-los em registros de risco
Exemplo 2: Enumere os potenciais impactos comerciais do acesso não autorizado às comunicações, sistemas e dados da organização processados nesses sistemas ou por esses sistemas
Exemplo 3: Considerar os impactos potenciais de falhas em cascata para sistemas de sistemas";Nível 2: Informado sobre Riscos;2.0;A organização identifica e registra potenciais impactos e probabilidades de ameaças que exploram vulnerabilidades, mas não há um processo formalizado para isso.;"[FONTE: Política de Segurança da Informação e Comunicações.pdf] O prazo máximo de quatro anos para revisão de ofício das informações classificadas no grau ultrassecreto ou secreto; [FONTE: Política de Segurança da Informação e Comunicações.pdf] A permanência das razões da classificação;";Elaborar política formal para identificar e registrar potenciais impactos e probabilidades de ameaças que exploram vulnerabilidades.;Implementar processo formalizado para identificar e registrar potenciais impactos e probabilidades de ameaças que exploram vulnerabilidades.
IDENTIFICAR (ID);Avaliação de Riscos (ID.RA);ID.RA-05;"Ameaças, vulnerabilidades, probabilidades e impactos são usados para entender o risco inerente e informar a priorização da resposta ao risco

Exemplo 1: Desenvolver modelos de ameaça para melhor compreender os riscos aos dados e identificar respostas adequadas ao risco
Exemplo 2: Priorizar a alocação de recursos e investimentos em cibersegurança com base em probabilidades e impactos estimados";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a gestão de risco, continuidade e auditoria. No entanto, não há evidências claras de como as ameaças, vulnerabilidades, probabilidades e impactos são utilizados para entender o risco inerente e informar a priorização da resposta ao risco.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A gestão de risco deve ser adotada, segundo critérios a serem definidos pela área de Segurança da Informação da CGTI, para a identificação e implementação das medidas de proteção necessárias para a mitigação ou eliminação dos riscos.;Elaborar modelo de ameaça para melhor compreender os riscos aos dados e identificar respostas adequadas ao risco;Implementar processo formal para avaliar as ameaças, vulnerabilidades, probabilidades e impactos e utilizar esses resultados para informar a priorização da resposta ao risco
IDENTIFICAR (ID);Avaliação de Riscos (ID.RA);ID.RA-06;"As respostas ao risco são escolhidas, priorizadas, planejadas, acompanhadas e comunicadas

Exemplo 1: Aplicar os critérios do plano de gerenciamento de vulnerabilidades para decidir se aceita, transfere, mitiga ou evita riscos
Exemplo 2: Aplicar os critérios do plano de gerenciamento de vulnerabilidades para selecionar controles compensatórios a fim de mitigar riscos
Exemplo 3: Acompanhar o progresso da implementação da resposta ao risco (por exemplo, plano de ação e marcos [POA&M], registro de riscos, relatório detalhado de riscos)
Exemplo 4: Usar os achados da avaliação de risco para informar decisões e ações de resposta ao risco
Exemplo 5: Comunicar respostas de risco planejadas aos stakeholders afetados em ordem de prioridade";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a gestão de risco, continuidade e auditoria. Além disso, há um grupo de pessoas responsáveis por receber, analisar e responder a notificações e atividades relacionadas a incidentes de segurança em redes computacionais.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] O objetivo estabelecido na política é a gestão de risco, continuidade e auditoria. Além disso, há um grupo de pessoas responsáveis por receber, analisar e responder a notificações e atividades relacionadas a incidentes de segurança em redes computacionais.;A falta de uma abordagem formal para gerenciar respostas ao risco e a comunicação dessas respostas aos stakeholders afetados;Elaborar política formal para gerenciamento de respostas ao risco e implementar um sistema de comunicação eficaz com os stakeholders
